poll_time_utc,advisory_type,waterbody,wb_api_id,wb_class,rain_gauge,occurred_on,duration_hr,volume
2026-08-01T00:14:57Z,WQ,Alley Creek,12,I,TI,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,"Arthur Kill, Lower",28,I,OB,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,"Arthur Kill, Upper",29,SD,OB,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Bergen Basin,42,I,JA,2026-07-31T19:00:00,4.0,0.0
2026-08-01T00:14:57Z,WQ,Bowery Bay,37,I,BB,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,"Bronx River, Lower",8,I,HP,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Coney Island Creek,2,I,CI,2026-07-31T19:00:00,8.0,0.0
2026-08-01T00:14:57Z,WQ,East River (near Steinway Creek),38,SD,BB,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,East River (near Throgs Neck),31,SB,TI,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,East River (RFK to Whitestone),36,I,TI,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,"East River, Lower",6,I,NC,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Eastchester Bay,13,SB,HP,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Erie Basin,23,SC,RH,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Flushing Bay,10,I,BB,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Flushing Creek,24,I,TI,2026-07-31T19:00:00,5.0,0.0
2026-08-01T00:14:57Z,WQ,Fresh Creek,15,I,26W,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,"Fresh Kills, Lower",40,SD,PR,2026-07-31T19:00:00,4.0,0.0
2026-08-01T00:14:57Z,WQ,"Fresh Kills, Upper",27,SD,PR,2026-07-31T19:00:00,36.0,0.0
2026-08-01T00:14:57Z,WQ,Gerritsen Creek,18,SB,RK,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,"Gowanus Canal, Inner",41,SC,RH,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,"Gowanus Canal, Outer",30,SB,RH,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Gravesend Bay,1,SB,OH,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Harlem River,7,SB(WW),WI,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Hendrix Creek,14,I,26W,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Hudson River (Bronx),22,SB,WI,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Hudson River (Manhattan),21,SB,NR,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,"Hutchinson River, Lower",35,SB,HP,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Jamaica Bay (Brooklyn),33,SB,26W,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Jamaica Bay (Queens),32,SB,JA,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Kill Van Kull,4,SC,PR,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Little Neck Bay,11,SB,TI,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Lower New York Bay,26,SB,OB,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Mill Basin,17,SB,CI,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Newark Bay,3,SC,PR,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,"Newtown Creek, Lower",45,SD,NC,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,"Newtown Creek, Upper",5,SD,NC,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Paerdegat Basin,16,I,CI,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Powell Cove,39,I,TI,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Sheepshead Bay,20,SB,CI,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Shellbank Basin,43,SB,JA,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Spring Creek,25,I,26W,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Thurston Basin,44,I,JA,2026-07-31T19:00:00,3.0,0.0
2026-08-01T00:14:57Z,WQ,Upper New York Bay,19,SB,OH,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Westchester Creek,9,I,HP,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,WQ,Western Long Island Sound,34,SB,HP,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,CSO,Alley Creek,12,I,TI,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,CSO,"Arthur Kill, Lower",28,I,OB,2026-07-31T19:00:00,0.0,0.0
2026-08-01T00:14:57Z,CSO,"Arthur Kill, Upper",29,SD,OB,2026-07-31T19:00:00,0.0,0.0
